ICD9CMCode,TotalDiag,dx0,dx1,dx2,dx3,dx4,dx5,dx6,dx7,dx8,dx9,dx10,dx11,dx12,dx13,dx14,dx15,dx16,dx17,dx18,dx19,dx20,dx21,dx22,dx23,dx24
038.40,2230,1669,273,128,43,29,9,6,8,12,14,10,5,,4,3,4,4,2,,2,2,,2,1,
038.41,261,205,24,11,5,5,1,1,1,1,1,,2,3,,,,,,,,1,,,,
038.42,16061,13300,1469,640,252,99,47,37,31,31,21,30,22,17,10,14,3,10,6,6,4,3,3,1,1,4
038.43,2498,1469,474,237,108,54,29,18,15,13,11,13,5,11,8,5,5,2,4,8,1,2,2,2,1,1
038.44,360,173,82,42,23,16,4,4,3,,2,2,,3,2,1,,1,,,,1,,,,1
038.49,8364,5604,1236,671,315,134,63,45,43,31,27,25,32,36,18,14,13,10,10,5,8,9,4,4,3,4
038.8,2547,1714,383,185,98,46,20,21,8,11,9,11,8,2,4,5,1,6,4,3,1,4,,2,1,
038.9,158527,128103,13909,4583,3151,2565,2426,1768,867,421,257,130,83,58,45,35,23,12,13,14,14,11,8,17,5,9
039.0,22,1,6,5,2,2,2,3,1,,,,,,,,,,,,,,,,,
039.1,131,30,15,13,5,18,16,14,,9,3,3,2,2,,,,,1,,,,,,,
039.2,18,4,5,,2,3,3,1,,,,,,,,,,,,,,,,,,
039.3,6,1,2,,,,2,,,,,,1,,,,,,,,,,,,,
039.4,2,,,,,2,,,,,,,,,,,,,,,,,,,,
039.8,124,18,20,11,14,11,17,7,6,3,7,2,3,2,1,1,,1,,,,,,,,
039.9,48,,5,7,7,5,4,3,4,3,3,3,1,1,1,,,,,1,,,,,,
040.0,597,23,406,60,51,20,12,6,5,4,2,3,1,,3,,,,,,,1,,,,
040.1,3,1,,,1,,1,,,,,,,,,,,,,,,,,,,
040.2,17,1,5,3,4,2,1,,,,,,,,,,,1,,,,,,,,
040.3,2,,1,1,,,,,,,,,,,,,,,,,,,,,,
040.41,32,31,1,,,,,,,,,,,,,,,,,,,,,,,
040.42,22,8,2,4,3,,2,,,1,1,,1,,,,,,,,,,,,,
040.81,1,,,,,,,,,,,,,,,,,,,1,,,,,,
040.82,172,65,40,20,17,3,13,9,3,1,,,,,,1,,,,,,,,,,
040.89,96,29,2,4,6,3,9,6,5,4,5,2,4,3,1,,2,3,2,1,1,1,2,1,,
041.00,1466,,88,87,107,130,123,117,99,78,82,71,70,52,58,47,49,33,36,31,29,18,20,23,9,9
041.01,1482,,199,181,150,119,136,112,91,83,60,60,52,36,28,28,40,14,16,19,21,12,7,5,7,6
041.02,4204,2,268,390,478,452,421,323,273,230,212,155,178,117,105,121,95,68,56,55,50,48,31,26,28,22
041.03,243,,15,25,24,23,22,18,16,18,7,12,12,9,5,7,6,5,4,3,2,7,2,1,,
041.04,13737,4,236,421,600,761,1001,997,957,839,888,756,751,653,643,563,551,536,449,401,370,351,278,257,236,238
041.05,327,,13,19,25,26,35,25,20,17,25,13,16,5,11,9,14,9,9,2,10,4,6,8,4,2
041.09,3616,1,257,298,304,309,312,279,237,216,177,163,141,136,121,109,90,93,76,63,59,46,32,29,35,33
